total transactions,transactionsRecorded, time(in miliseconds)
20000,20001,185
40000,40001,94
80000,80001,122
160000,160001,248
320000,289462,504
640000,331385,998
1280000,358083,1923
2560000,376673,3812
5120000,397628,7522
10240000,432266,14453
20480000,633657,29285
40960000,733740,59405
81920000,1025520,119810
here
125497040,185597


total transactions, time(in miliseconds)
20000,20001
40000,40001
80000,80001
160000,160001
320000,289462
640000,331385
1280000,358083
2560000,376673
5120000,397628
10240000,432266
20480000,633657
40960000,733740
81920000,1025520
163840000,1207321//first digit is wrong since I does not reach that far…but can assume is the biggest amount
here
125497040,188790

This is really good !!!

total transactions, time(in miliseconds)
20000,20001
40000,40001
80000,80001
160000,160001
320000,289462
640000,331385
1280000,358083
2560000,376673
5120000,397628
10240000,432266
20480000,633657
40960000,733740
81920000,1025520
163840000,1207321
here
125497040,188790


